County,District Code,District Name,District Organization Id,ESD Name,ESD Organization Id,Organization,OrganizationCode,organizationid8,Organizationid9,OrganizationLevel (PublicDirectory),OrganizationName,School Code,School Name,School Organization Id,SchoolYear,Avg. Average Class Size
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - West Seattle Elementary School,2645,101098,101098,School,West Seattle Elementary School,2645.0,West Seattle Elementary School,101098.0,2018-19,25
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Catharine Blaine K-8 School,2838,101106,101106,School,Catharine Blaine K-8 School,2838.0,Catharine Blaine K-8 School,101106.0,2018-19,26
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Gatewood Elementary School,2139,101055,101055,School,Gatewood Elementary School,2139.0,Gatewood Elementary School,101055.0,2018-19,26
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Greenwood Elementary School,2123,101053,101053,School,Greenwood Elementary School,2123.0,Greenwood Elementary School,101053.0,2018-19,26
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Highland Park Elementary School,2269,101077,101077,School,Highland Park Elementary School,2269.0,Highland Park Elementary School,101077.0,2018-19,26
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - John Muir Elementary School,2143,101058,101058,School,John Muir Elementary School,2143.0,John Muir Elementary School,101058.0,2018-19,26
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Whittier Elementary School,2092,101047,101047,School,Whittier Elementary School,2092.0,Whittier Elementary School,101047.0,2018-19,26
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Green Lake Elementary School,2061,101036,101036,School,Green Lake Elementary School,2061.0,Green Lake Elementary School,101036.0,2018-19,27
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Interagency Open Doors,5405,105909,105909,School,Interagency Open Doors,5405.0,Interagency Open Doors,105909.0,2018-19,27
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Lawton Elementary School,2183,101063,101063,School,Lawton Elementary School,2183.0,Lawton Elementary School,101063.0,2018-19,27
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Fairmount Park Elementary School,3518,101135,101135,School,Fairmount Park Elementary School,3518.0,Fairmount Park Elementary School,101135.0,2018-19,28
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Frantz Coe Elementary School,2090,101045,101045,School,Frantz Coe Elementary School,2090.0,Frantz Coe Elementary School,101045.0,2018-19,28
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - John Hay Elementary School,2063,101037,101037,School,John Hay Elementary School,2063.0,John Hay Elementary School,101037.0,2018-19,28
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Loyal Heights Elementary School,2462,101096,101096,School,Loyal Heights Elementary School,2462.0,Loyal Heights Elementary School,101096.0,2018-19,28
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Olympic View Elementary School,2256,101076,101076,School,Olympic View Elementary School,2256.0,Olympic View Elementary School,101076.0,2018-19,28
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Washington Middle School,4064,101167,101167,School,Washington Middle School,4064.0,Washington Middle School,101167.0,2018-19,28
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Arbor Heights Elementary School,2730,101102,101102,School,Arbor Heights Elementary School,2730.0,Arbor Heights Elementary School,101102.0,2018-19,29
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - View Ridge Elementary School,2667,101099,101099,School,View Ridge Elementary School,2667.0,View Ridge Elementary School,101099.0,2018-19,29
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - West Woodland Elementary School,2142,101057,101057,School,West Woodland Elementary School,2142.0,West Woodland Elementary School,101057.0,2018-19,29
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - McDonald International School,5203,105166,105166,School,McDonald International School,5203.0,McDonald International School,105166.0,2018-19,30
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - John Stanford International School,2081,101042,101042,School,John Stanford International School,2081.0,John Stanford International School,101042.0,2018-19,31
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Thornton Creek Elementary School,3974,101159,101159,School,Thornton Creek Elementary School,3974.0,Thornton Creek Elementary School,101159.0,2018-19,31
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Adams Elementary School,2138,101054,101054,School,Adams Elementary School,2138.0,Adams Elementary School,101054.0,2018-19,32
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Maple Elementary School,2353,101085,101085,School,Maple Elementary School,2353.0,Maple Elementary School,101085.0,2018-19,32
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Genesee Hill Elementary,3429,101129,101129,School,Genesee Hill Elementary,3429.0,Genesee Hill Elementary,101129.0,2018-19,33
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Wedgwood Elementary School,3026,101114,101114,School,Wedgwood Elementary School,3026.0,Wedgwood Elementary School,101114.0,2018-19,35
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Cascadia Elementary,5292,105540,105540,School,Cascadia Elementary,5292.0,Cascadia Elementary,105540.0,2018-19,36
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Olympic Hills Elementary School,2976,101112,101112,School,Olympic Hills Elementary School,2976.0,Olympic Hills Elementary School,101112.0,2018-19,36
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Lafayette Elementary School,2733,101105,101105,School,Lafayette Elementary School,2733.0,Lafayette Elementary School,101105.0,2018-19,37
