index,OrganizationLevel,SchoolCode,SchoolOrganizationid,CurrentSchoolType,SchoolYear,StudentGroupType,StudentGroup,GradeLevel,Suppression,PercentMetStandard,PercentLevel1,PercentLevel2,PercentLevel3,PercentLevel4,Attendance,DisciplineRate,Avg. Average Class Size,Teacherexp_mean,Female,Asian,Black/ African American,Hispanic/ Latino of any race(s),White,English Language Learners,Foster Care,Homeless,Low-Income,Students with Disabilities
960,School,2322.0,101083.0,P,2018-19,All,All Students,5th Grade,None,86.5,2.7,10.8,40.5,45.9,90.5,7.5,19.0,11.1,45.945945945945944,2.7027027027027026,8.108108108108109,5.405405405405405,54.054054054054056,0.0,0.0,0.0,5.405405405405405,16.216216216216218
979,School,3218.0,101122.0,P,2018-19,All,All Students,5th Grade,None,78.8,7.7,7.7,32.7,46.2,90.5,5.5,23.0,8.1,56.0,2.0,0.0,4.0,78.0,0.0,0.0,0.0,6.0,16.0
999,School,3027.0,101115.0,P,2018-19,All,All Students,5th Grade,None,45.2,29.0,25.8,32.3,12.9,90.5,6.5,19.0,12.4,37.5,9.375,21.875,40.625,12.5,31.25,0.0,15.625,84.375,12.5
1020,School,2976.0,101112.0,P,2018-19,All,All Students,5th Grade,None,52.1,23.3,24.7,37.0,15.1,90.5,3.5,36.0,6.8,57.74647887323944,8.450704225352112,18.309859154929576,39.436619718309856,19.718309859154928,29.577464788732396,1.408450704225352,4.225352112676056,77.46478873239437,21.12676056338028
1042,School,2256.0,101076.0,P,2018-19,All,All Students,5th Grade,None,72.7,16.4,10.9,40.0,32.7,90.5,4.5,28.0,12.5,44.642857142857146,10.714285714285714,10.714285714285714,12.5,57.142857142857146,8.928571428571429,1.7857142857142858,0.0,39.285714285714285,10.714285714285714
1064,School,4065.0,101168.0,A,2018-19,All,All Students,5th Grade,None,52.8,24.5,22.6,26.4,26.4,90.5,4.5,17.0,13.0,53.57142857142857,5.357142857142857,26.785714285714285,5.357142857142857,50.0,7.142857142857143,1.7857142857142858,0.0,32.142857142857146,14.285714285714286
1085,School,1620.0,100990.0,A,2018-19,All,All Students,5th Grade,None,60.4,15.1,18.9,26.4,34.0,90.5,4.5,13.0,13.9,51.785714285714285,3.5714285714285716,1.7857142857142858,8.928571428571429,76.78571428571429,0.0,0.0,0.0,14.285714285714286,35.714285714285715
1103,School,5046.0,104180.0,S,2018-19,All,All Students,5th Grade,N<10,,,,,,90.5,4.5,10.5,15.65,50.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
1115,School,5204.0,105167.0,P,2018-19,All,All Students,5th Grade,None,79.1,9.3,7.0,39.5,39.5,90.5,5.5,21.0,6.6,59.09090909090909,9.090909090909092,4.545454545454546,13.636363636363637,59.09090909090909,2.272727272727273,0.0,2.272727272727273,18.181818181818183,20.454545454545453
1136,School,3380.0,101128.0,P,2018-19,All,All Students,5th Grade,None,51.6,29.0,19.4,35.5,16.1,90.5,8.5,20.0,9.2,45.45454545454545,33.333333333333336,33.333333333333336,9.090909090909092,3.0303030303030303,12.121212121212121,3.0303030303030303,6.0606060606060606,81.81818181818181,9.090909090909092
1157,School,4263.0,101176.0,S,2018-19,All,All Students,5th Grade,N<10,,,,,,90.5,4.5,1.0,20.5,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
1174,School,2120.0,101051.0,P,2018-19,All,All Students,5th Grade,None,23.6,36.1,31.9,15.3,8.3,90.5,3.5,25.0,10.6,57.333333333333336,37.333333333333336,37.333333333333336,12.0,6.666666666666667,29.333333333333332,0.0,9.333333333333334,76.0,25.333333333333332
